Data Source,Indicadores del desarrollo mundial,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66
Australia,AUS,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69260822750.183701,70439218880.198395,68472118126.396103,68973355300.381607,69079422216.799103,83074113524.935501,95106951313.756302,102042551039.3938,104695844312.74429,98107296162.856506,105213922675.1826,109438251300.60971,99008262176.669998,110701255793.6496,135810168818.3698,172787359953.57611,200187782014.13651,228877206818.65491,284956231749.26837,329131403448.75433,274239651759.38519,343407021496.75049,414330751102.28601,421843397904.22534,405876704984.46368,389282713848.995,338644214745.69702,330843982266.51959,374434407309.71667,405588717424.78503,383982715595.68402,308184981652.64807,
Austria,AUT,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176830729104.53601,195871740832.3884,239666448503.6684,259697823914.3562,208863236296.98642,222175555581.0968,267774534027.2179,250915805937.49139,243171571945.68109,251643146627.2598,209824886243.78601,223567272066.84149,244222362667.5,273060323554.82599,265868031109.65909,232715453131.39142,
Azerbaiyán,AZE,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306037000,1805657000,2133383000,2476249000,1974518000,2414879000,2538585000,3531004000,5245905000,6966306000,8657887000,10853054000,14669133000,17081877000,13857507000,14379007000,21585967000,22811490000,24649800000,23974276000,21732523000,19919961000,20149623000,21795599000,21362941883.647034,17849644000,
Burundi,BDI,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,258893080.0425958,290879257.95613807,322545836.6323486,306755938.60180187,270510504.2016803,341272125.21258336,357936065.95685995,346667669.4809472,309860779.30636835,285982288.62613177,281809355.074422,158736677.53016821,147639497.5651632,176700395.85423201,133496284.7953866,164938668.4674519,162146877.23298541,159969092.99766579,193831445.9367094,252537106.00417823,343930060.16060048,460368593.06138796,450808917.0896973,609427331.04259372,538015370.38981271,618738761.9185636,790272201.9866693,943255316.59538531,925929771.51924312,945189363.3474437,849622944.0553683,753720198.71551919,898725224.788257,915940199.17948604,,,
Bélgica,BEL,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216240055871.05161,241586095252.0499,292502880697.69202,330119429597.82721,367755817677.36072,448376946710.22174,517467211019.40564,412811277130.29181,449055976060.60626,513393646643.83063,481084399402.67169,494454628185.80347,507228688302.56104,413731285659.36621,436647853927.23889,472992625687.11047,523681107915.16565,506342976636.4184,471153740655.13617,
Benin,BEN,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,190685957.40346038,268280630.37016207,272700837.88641518,330393615.90850818,373932234.29923701,388653445.61753321,427776329.53368467,679481398.56102252,677753384.69901466,430628774.24582303,440167218.0767507,472329164.90428919,550380452.78372872,634549617.31316793,494935644.0146994,405728942.5001561,491674670.84441215,902421358.89172792,773814298.05982351,769245358.56612456,654585061.76859748,925756901.19748688,801174573.21367228,794609794.46286297,808483541.47219086,889880935.71535277,745324774.03674912,781412851.60582101,938736303.6005255,1136065880.3891075,1191166503.3344004,1188232836.8423157,1453292035.8804002,2191306127.2380838,2465885421.1468401,2319045825.1598473,2395086383.3300152,2426439118.5343909,2746035440.9558048,3578985940.9345121,4382636102.9343348,3655631658.4648681,3864119217.4874568,4168474699.929009,4830550972.8830585,4501397298.3287592,4275566573.8087292,
Burkina Faso,BFA,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452824752.0827549,1512751217.2829843,1769530576.9433069,2451450444.9093599,2042905455.0111265,2657458059.6238313,3622856188.4830823,4055329145.9832239,5066168588.0299273,4848055624.01371,4269063025.329782,4635595630.8443928,5220392016.7147665,5886213676.5231724,5748895180.7142019,5582825548.3759651,
Bangladesh,BGD,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,988006165.18209755,1262655459.5195162,1654240678.2253487,2163914311.1457348,2903749669.4131374,2995574240.1885881,2814978248.5913439,2453586107.999897,2953771832.960547,2918041693.3083558,2970945522.2288337,3112331493.2337556,3528269603.9144197,4223427331.8871994,4139570598.250021,3936650516.3257313,4308527578.148407,4765227107.0959711,5564305484.6176977,7790362412.0147791,7643702670.4729013,8032400239.3477392,8158949561.4452734,9190707400.1272278,10017946102.953259,10016843464.420483,9441855805.7204418,11431227764.562986,13446206767.317257,15615940998.169544,17801946033.081429,20765264113.354042,26378962124.858799,24507328507.650482,31034874410.269478,39552695273.853195,39740482108.966789,44208435661.641815,47985052372.483604,48297626955.846939,50948491328.485092,59268104067.902687,67710074715.302818,66963788016.445374,59835136507.361595,88054177208.804794
Bulgaria,BGR,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,8547000000,9486000000,9186000000,10122000000,10663000000,11729000000,10976000000,12398000000,11056000000,10464000000,8905000000,4338500000,5554600000,6126100000,5475100000,7083800000,6525700000,4840000000,6579499878.4735832,7012008934.6761723,8314040320.5488586,9256385697.1554317,9333156795.6609402,13039875487.704983,18074204720.086071,22034227129.223572,28679869783.771351,39908630585.438507,45095815528.197212,29965751819.50106,29108010000,36960560000,36831180000,39619400000,39585650000,35410020000,35872160000,41387550000,46430670000,46231300000,41547210000,
Bahrein,BHR,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,1531479144.2009568,2062693935.7287869,2502717054.2214513,2710003792.396513,3152109120.6878161,3983551896.6051331,4714095757.218339,4398936181.9120655,3839627669.7862487,4134042557.7726579,3977393617.0212803,3166755319.1489401,3645744680.8510609,3557446808.510643,4114627659.5744672,9273936170.2127705,7741223404.2553196,7089361702.1276608,6675798064.6838894,7474202823.3965397,8268157737.7409096,8490042820.56534,8920135487.5286102,8876554633.8191509,9557596544.821331,11683577403.70067,8910768074.4273605,7827685023.4690599,7964617024.35184,11289503708.25111,15715080776.847069,19577625769.735138,23298615131.493896,24288007969.551018,15433948837.230581,16936048917.833771,24470478723.404301,28801588370.685928,31599283820.19273,30317581430.56229,26272891263.479992,25147606382.97871,27978749999.999962,31681382978.723419,,,
Bahamas,BHS,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,606900000,686300000,799500000,969800000,1212000000,1276200000,1256000000,1349700000,1407600000,1518000000,1561700000,1661400000,1656300000,2021500000,2057900000,1972300000,1685700000,1738540000,1839800000,2006600000,2236600000,2505000000,3073400000,3130400000,3465880000,3160800000,3057267335.507,3082530000,3359180000,3942895405.333333,4714760000,4889382197.2442198,4800590057.7309999,3941715000,4046241000,4549513000,5240413000,5171307000,5565312120.1729393,4678882435.0664062,4952854181.943119,5330084964.8337402,5840008034.5429592,5488145430.396944,3884347453.0407505,
Bosnia y Herzegovina,BIH,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4103287977.5879159,4478704261.3370466,4233747802.7138968,4454105662.9810905,4851943472.9082098,6141070240.6782694,7258686500.7009764,8102600536.9060917,8486257450.3489437,9572822741.8793964,11932317997.218447,8843094164.8338203,9111199364.3453503,10931320922.796371,10040398877.816175,10197416966.720781,11009144141.054806,9138298792.4690742,9464042084.209074,11084695243.400623,12293052059.467979,11868854968.86928,10332129900.227512,
Belarús,BLR,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2642300000,3228400000,5805300000,7379400000,8806300000,8236300000,6718000000,7687300000,8542800000,9174200000,11686000000,16629300000,17410800000,23407700000,30331300000,42006900000,31224400000,38401700000,49812500000,51441900000,49930400000,47106500000,35770700000,32822900000,39421300000,44668300000,45417700000,38741000000,48951656895.129997
Belice,BLZ,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,160500000,154500000,160050000,186250000,230300000,270100000,269200000,310900000,348900000,366400000,348009500,350571000,353215000,405360000,429207500,515081127.56999999,650070518.53999996,663851783.18532932,692035812.94693601,746399519.04480731,733232367.99393797,824213312.09767997,885415139.53728294,968793426.61335111,1128919069.617888,894994611.26478195,971730314.50518203,1052210166.283661,1148414699.6450388,1207738671.8433001,1301259086.854363,1285363604.1430349,1247609694.4279761,1266107488.0688798,1309875617.0140438,1376654759.533488,968044413.07675946,
Bermudas,BMU,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279010000,2792183990.9183083,2774046912.7299399,2419673842.9139652,2316834768.0899673,2151149717.6214461,2055398066.0495319,2731517415.0301971,2257674245.316062,2086643114.062238,2230728286.665803,2336202289.2559419,2478381735.6721706,2634531065.2524881,1992960734.966486,
Bolivia,BOL,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,703700000,833600000,1064500000,1321600000,1111600000,1525900000,1136800000,1143300000,1110700000,1099300000,1168400000,1210400000,1128700000,1310700000,1353600000,1387000000,1567200000,1648500000,1554000000,1808800000,1968220000,2357040000,2489300000,2342000000,2442844000,2311969800,2379915000,2421803168.6578751,2791557489.725615,3362182546.4148598,4089585617.5449319,4999477982.640481,6660923420.6100817,6062230000,7126195498.397481,9899628535.8331604,11689614872.554949,13139172258.084761,14715527630.78536,13145353349.396641,11547819331.303003,13052747862.497318,13548295193.01709,12937117456.963514,8888107809.4917946,
Brasil,BRA,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,16950000000,17841000000,18622000000,21597000000,28493000000,36250000000,38873000000,39773000000,31286000000,30334000000,29737000000,30522000000,30250000000,32758000000,38036000000,40949000000,38806000000,37099000000,46486000000,54788000000,77855000000,83545000000,97122639468.468307,98663715674.092194,86471283442.772491,94460784573.976807,95977171414.096497,83644017776.450897,85891205238.561401,103940393025.41989,127034295039.33659,154262143835.7818,198970978877.9238,275345648750.5719,218762284380.0184,331688588401.80005,394723038101.45001,377356872201.53998,376179283205.81995,376100344516.46997,283497629997,257933973023.47,299857503132.21997,339567729369.39001,351417786552.90997,286216370920.05005,378185749365.05994
Barbados,BRB,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,93105447.417785183,105510461.06424442,123621383.31358889,148030159.6277847,156956749.44040856,178467497.31549674,206137546.45712098,229109210.06565335,251194071.75455105,275713837.57499999,315889083.44999999,369113285.05000001,480988441.63499999,620188207.5,689429805,683339345,746418542.5,792885210,747406882.5,771053072.96718001,728331365.17206502,775472672.37434006,886216951.35512996,928183696.78672004,907417696.48117495,732679048.29749501,835876298.08148503,895876155.56455004,1095166528.7464449,1189895824.93346,1351570215.5137501,1418174365.98172,1519001468.39326,1642255250.1805999,1565260841.8090799,1604681575.6024899,1811406110.38202,2045940719.8441598,2341777561.4259601,2598561592.9884601,2702663071.4505501,2872480174.0001001,2494312192.6280198,2528242422.4135709,2700256531.74122,2761774082.3684249,2903820053.662786,3080896211.34867,2746100172.7543249,3057139438.8323498,,,,,
Brunei Darussalam,BRN,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320856830.3597288,2525387182.7146192,2492944930.7632818,2613392361.9313107,2712057425.0859041,2984544472.0405078,3514570851.6972442,4509283792.163826,3980865930.2823133,4873744257.0848303,7032830955.8717003,8179496439.3680401,8969687394.2632904,6885721898.6528606,5316773600.6931629,4545475509.4461622,4659986431.5619402,6593910007.6218719,7472240435.2794838,6942017238.5244808,
Bhután,BTN,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524567280.6255492,613006523.32393444,835295386.74197066,734907644.49932945,1023724987.2334698,1425393616.726171,1338732748.2761569,1284139885.26636,1265852813.7022321,1378095770.2751551,1433430290.311481,1464218232.208442,1500094589.9519908,1488182142.1091149,1366515397.4107141,
Botswana,BWA,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,250301653.21128842,310500077.982095,370682839.95870286,465370697.18105519,666620314.76219451,953520539.03762794,948564167.94804168,806479156.81497002,954576844.6473341,964283514.039451,840601293.10062599,1009076383.709169,1422623092.2372251,1772515671.2489867,1896633514.8021202,2508941533.0121241,2406709680.8235159,2346419557.0512772,2041909557.0710821,2131342853.2742972,2565284935.4665699,2566097272.6242652,3132007187.5379491,3008654292.1237669,3087495602.8034182,3049923436.920702,2647569739.0758529,3060775626.041204,3810367499.4949102,4854697095.4798899,4764402569.9907198,4667236954.1876106,5993384924.7159395,6958486816.6288795,5975555753.5868979,7632400893.3824615,8859934629.8607178,9297450971.3273392,10091384172.704126,9727683259.725708,8793832193.2033787,8428916276.22756,7911899437.4193096,9188620402.4959698,8863788944.6994305,7744716538.0017023,
República Centroafricana,CAF,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,177491271.70179462,208153246.94559699,254243051.70042971,329222578.41498137,241315230.14681602,268341387.84598532,254976804.05639809,238828255.21060842,289824205.0216552,357809597.06721306,374023169.69291991,351286435.85614771,351849885.78467983,432499926.17049599,334263348.59421879,363887357.7756235,313233479.35525638,267108691.91201249,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadá,CAN,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,8338739750.3671265,8579064729.6627102,8864739027.9186993,9281612321.0587597,10330498181.075569,12172688731.492701,13837536379.011309,14946994374.687851,16774414842.12306,19548118285.801331,20537899635.065891,23476220159.23814,27502709973.50589,34411488692.540871,46834861359.624535,49525835249.923683,55433773603.586578,58649201221.585899,65607437107.936996,79665748087.026703,88889966635.076996,103002015404.1692,88753671845.544891,95652131733.293213,111289029783.51221,115825785362.08209,121495872363.46658,134262987374.6091,160278332361.4324,176528707312.77811,183662537617.96271,183479520709.74701,187396206439.21118,200613250797.97031,218264411732.9321,241976824278.19031,250524313310.08072,282663955135.26318,284175385576.62042,305199732818.96832,335079364872.25128,311502900033.5661,310722738613.94879,339658272745.52069,387551442207.8241,448313144986.69861,504124127939.95386,561058892884.60693,597215808431.6095,479329935734.9198,584690152098.95056,663071144062.70972,688412050291.53015,687747619741.9082,689969693719.41699,619874343151.33032,601296216175.97351,651747373890.00159,701799877390.84509,706853194901.89502,608505333937.5929,722595632586.20996
Europa Central y del Báltico,CEB,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98207666022.42363,105032280384.23813,143210533544.31454,162168540565.18433,172402242233.82709,190254424051.67981,186284844412.42227,204507403705.88419,222112105090.42474,244607436922.55231,313414559205.92188,434631887153.6485,503174684685.27667,620915645310.57544,815266188595.70068,960592870153.54504,700312830814.25525,792513825703.46033,934637187924.3468,887968409275.41882,920897021539.08521,965671887699.01978,850846826355.78564,876241660869.43689,1001368447831.3953,1135197889459.8113,1130818700589.3655,1055503887363.3352,
Suiza,CHE,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,27644484045.014252,38349503365.376923,47772748122.813736,58523627594.357185,54820822871.610077,51457497757.86692,50792188893.028297,49176839442.728561,50181411202.116249,69097697694.825363,80562413729.511505,88776054124.239807,95244036248.605499,117196503878.24789,109580274176.39551,110941662686.33041,102292159671.54291,111933566938.47479,129782749796.85811,130760754362.82849,126162421945.65231,136788232567.6678,137164713938.9682,171003208636.0455,171005887705.19312,165156918090.09372,191871617642.17517,223937663718.97272,269904133659.42352,296541991244.04089,375926447245.57202,428340268135.18799,371434458065.46118,420808933247.97314,522626528490.10699,507843660955.784,537876579318.578,547386619374.72302,502037102866.99298,534728786766.36304,570843622775.86096,608769566230.82495,601830175003.198,576410644023.81299,
Islas del Canal,CHI,"Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)",BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
